_typename,name,filters,kernel_size
nn.SpatialConvolution,,3,1
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv1_1,64,3
nn.ReLU,relu1_1,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv1_2,64,3
nn.ReLU,relu1_2,,
nn.SpatialMaxPooling,pool1,,2
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv2_1,128,3
nn.ReLU,relu2_1,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv2_2,128,3
nn.ReLU,relu2_2,,
nn.SpatialMaxPooling,pool2,,2
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv3_1,256,3
nn.ReLU,relu3_1,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv3_2,256,3
nn.ReLU,relu3_2,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv3_3,256,3
nn.ReLU,relu3_3,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv3_4,256,3
nn.ReLU,relu3_4,,
nn.SpatialMaxPooling,pool3,,2
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv4_1,512,3
nn.ReLU,relu4_1,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv4_2,512,3
nn.ReLU,relu4_2,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv4_3,512,3
nn.ReLU,relu4_3,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv4_4,512,3
nn.ReLU,relu4_4,,
nn.SpatialMaxPooling,pool4,,2
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv5_1,512,3
nn.ReLU,relu5_1,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv5_2,512,3
nn.ReLU,relu5_2,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv5_3,512,3
nn.ReLU,relu5_3,,
nn.SpatialReflectionPadding,,,
nn.SpatialConvolution,conv5_4,512,3
nn.ReLU,relu5_4,,
